"","calendar_date","day_of_week","holiday_flg"
"1","2016-01-01","Friday",1
"2","2016-01-02","Saturday",1
"3","2016-01-03","Sunday",1
"4","2016-01-04","Monday",0
"5","2016-01-05","Tuesday",0
"6","2016-01-06","Wednesday",0
"7","2016-01-07","Thursday",0
"8","2016-01-08","Friday",0
"9","2016-01-09","Saturday",0
"10","2016-01-10","Sunday",0
"11","2016-01-11","Monday",1
"12","2016-01-12","Tuesday",0
"13","2016-01-13","Wednesday",0
"14","2016-01-14","Thursday",0
"15","2016-01-15","Friday",0
"16","2016-01-16","Saturday",0
"17","2016-01-17","Sunday",0
"18","2016-01-18","Monday",0
"19","2016-01-19","Tuesday",0
"20","2016-01-20","Wednesday",0
"21","2016-01-21","Thursday",0
"22","2016-01-22","Friday",0
"23","2016-01-23","Saturday",0
"24","2016-01-24","Sunday",0
"25","2016-01-25","Monday",0
"26","2016-01-26","Tuesday",0
"27","2016-01-27","Wednesday",0
"28","2016-01-28","Thursday",0
"29","2016-01-29","Friday",0
"30","2016-01-30","Saturday",0
"31","2016-01-31","Sunday",0
"32","2016-02-01","Monday",0
"33","2016-02-02","Tuesday",0
"34","2016-02-03","Wednesday",0
"35","2016-02-04","Thursday",0
"36","2016-02-05","Friday",0
"37","2016-02-06","Saturday",0
"38","2016-02-07","Sunday",0
"39","2016-02-08","Monday",0
"40","2016-02-09","Tuesday",0
"41","2016-02-10","Wednesday",0
"42","2016-02-11","Thursday",1
"43","2016-02-12","Friday",0
"44","2016-02-13","Saturday",0
"45","2016-02-14","Sunday",0
"46","2016-02-15","Monday",0
"47","2016-02-16","Tuesday",0
"48","2016-02-17","Wednesday",0
"49","2016-02-18","Thursday",0
"50","2016-02-19","Friday",0
"51","2016-02-20","Saturday",0
"52","2016-02-21","Sunday",0
"53","2016-02-22","Monday",0
"54","2016-02-23","Tuesday",0
"55","2016-02-24","Wednesday",0
"56","2016-02-25","Thursday",0
"57","2016-02-26","Friday",0
"58","2016-02-27","Saturday",0
"59","2016-02-28","Sunday",0
"60","2016-02-29","Monday",0
"61","2016-03-01","Tuesday",0
"62","2016-03-02","Wednesday",0
"63","2016-03-03","Thursday",0
"64","2016-03-04","Friday",0
"65","2016-03-05","Saturday",0
"66","2016-03-06","Sunday",0
"67","2016-03-07","Monday",0
"68","2016-03-08","Tuesday",0
"69","2016-03-09","Wednesday",0
"70","2016-03-10","Thursday",0
"71","2016-03-11","Friday",0
"72","2016-03-12","Saturday",0
"73","2016-03-13","Sunday",0
"74","2016-03-14","Monday",0
"75","2016-03-15","Tuesday",0
"76","2016-03-16","Wednesday",0
"77","2016-03-17","Thursday",0
"78","2016-03-18","Friday",0
"79","2016-03-19","Saturday",0
"80","2016-03-20","Sunday",1
"81","2016-03-21","Monday",1
"82","2016-03-22","Tuesday",0
"83","2016-03-23","Wednesday",0
"84","2016-03-24","Thursday",0
"85","2016-03-25","Friday",0
"86","2016-03-26","Saturday",0
"87","2016-03-27","Sunday",0
"88","2016-03-28","Monday",0
"89","2016-03-29","Tuesday",0
"90","2016-03-30","Wednesday",0
"91","2016-03-31","Thursday",0
"92","2016-04-01","Friday",0
"93","2016-04-02","Saturday",0
"94","2016-04-03","Sunday",0
"95","2016-04-04","Monday",0
"96","2016-04-05","Tuesday",0
"97","2016-04-06","Wednesday",0
"98","2016-04-07","Thursday",0
"99","2016-04-08","Friday",0
"100","2016-04-09","Saturday",0
"101","2016-04-10","Sunday",0
"102","2016-04-11","Monday",0
"103","2016-04-12","Tuesday",0
"104","2016-04-13","Wednesday",0
"105","2016-04-14","Thursday",0
"106","2016-04-15","Friday",0
"107","2016-04-16","Saturday",0
"108","2016-04-17","Sunday",0
"109","2016-04-18","Monday",0
"110","2016-04-19","Tuesday",0
"111","2016-04-20","Wednesday",0
"112","2016-04-21","Thursday",0
"113","2016-04-22","Friday",0
"114","2016-04-23","Saturday",0
"115","2016-04-24","Sunday",0
"116","2016-04-25","Monday",0
"117","2016-04-26","Tuesday",0
"118","2016-04-27","Wednesday",0
"119","2016-04-28","Thursday",0
"120","2016-04-29","Friday",1
"121","2016-04-30","Saturday",0
"122","2016-05-01","Sunday",0
"123","2016-05-02","Monday",0
"124","2016-05-03","Tuesday",1
"125","2016-05-04","Wednesday",1
"126","2016-05-05","Thursday",1
"127","2016-05-06","Friday",0
"128","2016-05-07","Saturday",0
"129","2016-05-08","Sunday",0
"130","2016-05-09","Monday",0
"131","2016-05-10","Tuesday",0
"132","2016-05-11","Wednesday",0
"133","2016-05-12","Thursday",0
"134","2016-05-13","Friday",0
"135","2016-05-14","Saturday",0
"136","2016-05-15","Sunday",0
"137","2016-05-16","Monday",0
"138","2016-05-17","Tuesday",0
"139","2016-05-18","Wednesday",0
"140","2016-05-19","Thursday",0
"141","2016-05-20","Friday",0
"142","2016-05-21","Saturday",0
"143","2016-05-22","Sunday",0
"144","2016-05-23","Monday",0
"145","2016-05-24","Tuesday",0
"146","2016-05-25","Wednesday",0
"147","2016-05-26","Thursday",0
"148","2016-05-27","Friday",0
"149","2016-05-28","Saturday",0
"150","2016-05-29","Sunday",0
"151","2016-05-30","Monday",0
"152","2016-05-31","Tuesday",0
"153","2016-06-01","Wednesday",0
"154","2016-06-02","Thursday",0
"155","2016-06-03","Friday",0
"156","2016-06-04","Saturday",0
"157","2016-06-05","Sunday",0
"158","2016-06-06","Monday",0
"159","2016-06-07","Tuesday",0
"160","2016-06-08","Wednesday",0
"161","2016-06-09","Thursday",0
"162","2016-06-10","Friday",0
"163","2016-06-11","Saturday",0
"164","2016-06-12","Sunday",0
"165","2016-06-13","Monday",0
"166","2016-06-14","Tuesday",0
"167","2016-06-15","Wednesday",0
"168","2016-06-16","Thursday",0
"169","2016-06-17","Friday",0
"170","2016-06-18","Saturday",0
"171","2016-06-19","Sunday",0
"172","2016-06-20","Monday",0
"173","2016-06-21","Tuesday",0
"174","2016-06-22","Wednesday",0
"175","2016-06-23","Thursday",0
"176","2016-06-24","Friday",0
"177","2016-06-25","Saturday",0
"178","2016-06-26","Sunday",0
"179","2016-06-27","Monday",0
"180","2016-06-28","Tuesday",0
"181","2016-06-29","Wednesday",0
"182","2016-06-30","Thursday",0
"183","2016-07-01","Friday",0
"184","2016-07-02","Saturday",0
"185","2016-07-03","Sunday",0
"186","2016-07-04","Monday",0
"187","2016-07-05","Tuesday",0
"188","2016-07-06","Wednesday",0
"189","2016-07-07","Thursday",0
"190","2016-07-08","Friday",0
"191","2016-07-09","Saturday",0
"192","2016-07-10","Sunday",0
"193","2016-07-11","Monday",0
"194","2016-07-12","Tuesday",0
"195","2016-07-13","Wednesday",0
"196","2016-07-14","Thursday",0
"197","2016-07-15","Friday",0
"198","2016-07-16","Saturday",0
"199","2016-07-17","Sunday",0
"200","2016-07-18","Monday",1
"201","2016-07-19","Tuesday",0
"202","2016-07-20","Wednesday",0
"203","2016-07-21","Thursday",0
"204","2016-07-22","Friday",0
"205","2016-07-23","Saturday",0
"206","2016-07-24","Sunday",0
"207","2016-07-25","Monday",0
"208","2016-07-26","Tuesday",0
"209","2016-07-27","Wednesday",0
"210","2016-07-28","Thursday",0
"211","2016-07-29","Friday",0
"212","2016-07-30","Saturday",0
"213","2016-07-31","Sunday",0
"214","2016-08-01","Monday",0
"215","2016-08-02","Tuesday",0
"216","2016-08-03","Wednesday",0
"217","2016-08-04","Thursday",0
"218","2016-08-05","Friday",0
"219","2016-08-06","Saturday",0
"220","2016-08-07","Sunday",0
"221","2016-08-08","Monday",0
"222","2016-08-09","Tuesday",0
"223","2016-08-10","Wednesday",0
"224","2016-08-11","Thursday",1
"225","2016-08-12","Friday",0
"226","2016-08-13","Saturday",1
"227","2016-08-14","Sunday",1
"228","2016-08-15","Monday",1
"229","2016-08-16","Tuesday",0
"230","2016-08-17","Wednesday",0
"231","2016-08-18","Thursday",0
"232","2016-08-19","Friday",0
"233","2016-08-20","Saturday",0
"234","2016-08-21","Sunday",0
"235","2016-08-22","Monday",0
"236","2016-08-23","Tuesday",0
"237","2016-08-24","Wednesday",0
"238","2016-08-25","Thursday",0
"239","2016-08-26","Friday",0
"240","2016-08-27","Saturday",0
"241","2016-08-28","Sunday",0
"242","2016-08-29","Monday",0
"243","2016-08-30","Tuesday",0
"244","2016-08-31","Wednesday",0
"245","2016-09-01","Thursday",0
"246","2016-09-02","Friday",0
"247","2016-09-03","Saturday",0
"248","2016-09-04","Sunday",0
"249","2016-09-05","Monday",0
"250","2016-09-06","Tuesday",0
"251","2016-09-07","Wednesday",0
"252","2016-09-08","Thursday",0
"253","2016-09-09","Friday",0
"254","2016-09-10","Saturday",0
"255","2016-09-11","Sunday",0
"256","2016-09-12","Monday",0
"257","2016-09-13","Tuesday",0
"258","2016-09-14","Wednesday",0
"259","2016-09-15","Thursday",0
"260","2016-09-16","Friday",0
"261","2016-09-17","Saturday",0
"262","2016-09-18","Sunday",0
"263","2016-09-19","Monday",1
"264","2016-09-20","Tuesday",0
"265","2016-09-21","Wednesday",0
"266","2016-09-22","Thursday",1
"267","2016-09-23","Friday",0
"268","2016-09-24","Saturday",0
"269","2016-09-25","Sunday",0
"270","2016-09-26","Monday",0
"271","2016-09-27","Tuesday",0
"272","2016-09-28","Wednesday",0
"273","2016-09-29","Thursday",0
"274","2016-09-30","Friday",0
"275","2016-10-01","Saturday",0
"276","2016-10-02","Sunday",0
"277","2016-10-03","Monday",0
"278","2016-10-04","Tuesday",0
"279","2016-10-05","Wednesday",0
"280","2016-10-06","Thursday",0
"281","2016-10-07","Friday",0
"282","2016-10-08","Saturday",0
"283","2016-10-09","Sunday",0
"284","2016-10-10","Monday",1
"285","2016-10-11","Tuesday",0
"286","2016-10-12","Wednesday",0
"287","2016-10-13","Thursday",0
"288","2016-10-14","Friday",0
"289","2016-10-15","Saturday",0
"290","2016-10-16","Sunday",0
"291","2016-10-17","Monday",0
"292","2016-10-18","Tuesday",0
"293","2016-10-19","Wednesday",0
"294","2016-10-20","Thursday",0
"295","2016-10-21","Friday",0
"296","2016-10-22","Saturday",0
"297","2016-10-23","Sunday",0
"298","2016-10-24","Monday",0
"299","2016-10-25","Tuesday",0
"300","2016-10-26","Wednesday",0
"301","2016-10-27","Thursday",0
"302","2016-10-28","Friday",0
"303","2016-10-29","Saturday",0
"304","2016-10-30","Sunday",0
"305","2016-10-31","Monday",0
"306","2016-11-01","Tuesday",0
"307","2016-11-02","Wednesday",0
"308","2016-11-03","Thursday",1
"309","2016-11-04","Friday",0
"310","2016-11-05","Saturday",0
"311","2016-11-06","Sunday",0
"312","2016-11-07","Monday",0
"313","2016-11-08","Tuesday",0
"314","2016-11-09","Wednesday",0
"315","2016-11-10","Thursday",0
"316","2016-11-11","Friday",0
"317","2016-11-12","Saturday",0
"318","2016-11-13","Sunday",0
"319","2016-11-14","Monday",0
"320","2016-11-15","Tuesday",0
"321","2016-11-16","Wednesday",0
"322","2016-11-17","Thursday",0
"323","2016-11-18","Friday",0
"324","2016-11-19","Saturday",0
"325","2016-11-20","Sunday",0
"326","2016-11-21","Monday",0
"327","2016-11-22","Tuesday",0
"328","2016-11-23","Wednesday",1
"329","2016-11-24","Thursday",0
"330","2016-11-25","Friday",0
"331","2016-11-26","Saturday",0
"332","2016-11-27","Sunday",0
"333","2016-11-28","Monday",0
"334","2016-11-29","Tuesday",0
"335","2016-11-30","Wednesday",0
"336","2016-12-01","Thursday",0
"337","2016-12-02","Friday",0
"338","2016-12-03","Saturday",0
"339","2016-12-04","Sunday",0
"340","2016-12-05","Monday",0
"341","2016-12-06","Tuesday",0
"342","2016-12-07","Wednesday",0
"343","2016-12-08","Thursday",0
"344","2016-12-09","Friday",0
"345","2016-12-10","Saturday",0
"346","2016-12-11","Sunday",0
"347","2016-12-12","Monday",0
"348","2016-12-13","Tuesday",0
"349","2016-12-14","Wednesday",0
"350","2016-12-15","Thursday",0
"351","2016-12-16","Friday",0
"352","2016-12-17","Saturday",0
"353","2016-12-18","Sunday",0
"354","2016-12-19","Monday",0
"355","2016-12-20","Tuesday",0
"356","2016-12-21","Wednesday",0
"357","2016-12-22","Thursday",0
"358","2016-12-23","Friday",1
"359","2016-12-24","Saturday",0
"360","2016-12-25","Sunday",0
"361","2016-12-26","Monday",0
"362","2016-12-27","Tuesday",0
"363","2016-12-28","Wednesday",0
"364","2016-12-29","Thursday",1
"365","2016-12-30","Friday",1
"366","2016-12-31","Saturday",1
"367","2017-01-01","Sunday",1
"368","2017-01-02","Monday",1
"369","2017-01-03","Tuesday",1
"370","2017-01-04","Wednesday",0
"371","2017-01-05","Thursday",0
"372","2017-01-06","Friday",0
"373","2017-01-07","Saturday",0
"374","2017-01-08","Sunday",0
"375","2017-01-09","Monday",1
"376","2017-01-10","Tuesday",0
"377","2017-01-11","Wednesday",0
"378","2017-01-12","Thursday",0
"379","2017-01-13","Friday",0
"380","2017-01-14","Saturday",0
"381","2017-01-15","Sunday",0
"382","2017-01-16","Monday",0
"383","2017-01-17","Tuesday",0
"384","2017-01-18","Wednesday",0
"385","2017-01-19","Thursday",0
"386","2017-01-20","Friday",0
"387","2017-01-21","Saturday",0
"388","2017-01-22","Sunday",0
"389","2017-01-23","Monday",0
"390","2017-01-24","Tuesday",0
"391","2017-01-25","Wednesday",0
"392","2017-01-26","Thursday",0
"393","2017-01-27","Friday",0
"394","2017-01-28","Saturday",0
"395","2017-01-29","Sunday",0
"396","2017-01-30","Monday",0
"397","2017-01-31","Tuesday",0
"398","2017-02-01","Wednesday",0
"399","2017-02-02","Thursday",0
"400","2017-02-03","Friday",0
"401","2017-02-04","Saturday",0
"402","2017-02-05","Sunday",0
"403","2017-02-06","Monday",0
"404","2017-02-07","Tuesday",0
"405","2017-02-08","Wednesday",0
"406","2017-02-09","Thursday",0
"407","2017-02-10","Friday",0
"408","2017-02-11","Saturday",1
"409","2017-02-12","Sunday",0
"410","2017-02-13","Monday",0
"411","2017-02-14","Tuesday",0
"412","2017-02-15","Wednesday",0
"413","2017-02-16","Thursday",0
"414","2017-02-17","Friday",0
"415","2017-02-18","Saturday",0
"416","2017-02-19","Sunday",0
"417","2017-02-20","Monday",0
"418","2017-02-21","Tuesday",0
"419","2017-02-22","Wednesday",0
"420","2017-02-23","Thursday",0
"421","2017-02-24","Friday",0
"422","2017-02-25","Saturday",0
"423","2017-02-26","Sunday",0
"424","2017-02-27","Monday",0
"425","2017-02-28","Tuesday",0
"426","2017-03-01","Wednesday",0
"427","2017-03-02","Thursday",0
"428","2017-03-03","Friday",0
"429","2017-03-04","Saturday",0
"430","2017-03-05","Sunday",0
"431","2017-03-06","Monday",0
"432","2017-03-07","Tuesday",0
"433","2017-03-08","Wednesday",0
"434","2017-03-09","Thursday",0
"435","2017-03-10","Friday",0
"436","2017-03-11","Saturday",0
"437","2017-03-12","Sunday",0
"438","2017-03-13","Monday",0
"439","2017-03-14","Tuesday",0
"440","2017-03-15","Wednesday",0
"441","2017-03-16","Thursday",0
"442","2017-03-17","Friday",0
"443","2017-03-18","Saturday",0
"444","2017-03-19","Sunday",0
"445","2017-03-20","Monday",1
"446","2017-03-21","Tuesday",0
"447","2017-03-22","Wednesday",0
"448","2017-03-23","Thursday",0
"449","2017-03-24","Friday",0
"450","2017-03-25","Saturday",0
"451","2017-03-26","Sunday",0
"452","2017-03-27","Monday",0
"453","2017-03-28","Tuesday",0
"454","2017-03-29","Wednesday",0
"455","2017-03-30","Thursday",0
"456","2017-03-31","Friday",0
"457","2017-04-01","Saturday",0
"458","2017-04-02","Sunday",0
"459","2017-04-03","Monday",0
"460","2017-04-04","Tuesday",0
"461","2017-04-05","Wednesday",0
"462","2017-04-06","Thursday",0
"463","2017-04-07","Friday",0
"464","2017-04-08","Saturday",0
"465","2017-04-09","Sunday",0
"466","2017-04-10","Monday",0
"467","2017-04-11","Tuesday",0
"468","2017-04-12","Wednesday",0
"469","2017-04-13","Thursday",0
"470","2017-04-14","Friday",0
"471","2017-04-15","Saturday",0
"472","2017-04-16","Sunday",0
"473","2017-04-17","Monday",0
"474","2017-04-18","Tuesday",0
"475","2017-04-19","Wednesday",0
"476","2017-04-20","Thursday",0
"477","2017-04-21","Friday",0
"478","2017-04-22","Saturday",0
"479","2017-04-23","Sunday",0
"480","2017-04-24","Monday",0
"481","2017-04-25","Tuesday",0
"482","2017-04-26","Wednesday",0
"483","2017-04-27","Thursday",0
"484","2017-04-28","Friday",0
"485","2017-04-29","Saturday",1
"486","2017-04-30","Sunday",0
"487","2017-05-01","Monday",0
"488","2017-05-02","Tuesday",0
"489","2017-05-03","Wednesday",1
"490","2017-05-04","Thursday",1
"491","2017-05-05","Friday",1
"492","2017-05-06","Saturday",0
"493","2017-05-07","Sunday",0
"494","2017-05-08","Monday",0
"495","2017-05-09","Tuesday",0
"496","2017-05-10","Wednesday",0
"497","2017-05-11","Thursday",0
"498","2017-05-12","Friday",0
"499","2017-05-13","Saturday",0
"500","2017-05-14","Sunday",0
"501","2017-05-15","Monday",0
"502","2017-05-16","Tuesday",0
"503","2017-05-17","Wednesday",0
"504","2017-05-18","Thursday",0
"505","2017-05-19","Friday",0
"506","2017-05-20","Saturday",0
"507","2017-05-21","Sunday",0
"508","2017-05-22","Monday",0
"509","2017-05-23","Tuesday",0
"510","2017-05-24","Wednesday",0
"511","2017-05-25","Thursday",0
"512","2017-05-26","Friday",0
"513","2017-05-27","Saturday",0
"514","2017-05-28","Sunday",0
"515","2017-05-29","Monday",0
"516","2017-05-30","Tuesday",0
"517","2017-05-31","Wednesday",0
